category,english_name,chinese_name
Blocks,Acacia Button,金合欢木按钮
Blocks,Acacia Door,金合欢木门
Blocks,Acacia Fence,金合欢木栅栏
Blocks,Acacia Fence Gate,金合欢木栅栏门
Blocks,Acacia Hanging Sign,悬挂式金合欢木告示牌
Blocks,Acacia Leaves,金合欢树叶
Blocks,Acacia Log,金合欢原木
Blocks,Acacia Planks,金合欢木板
Blocks,Acacia Pressure Plate,金合欢木压力板
Blocks,Acacia Sapling,金合欢树苗
Blocks,Acacia Shelf,金合欢木展示架
Blocks,Acacia Sign,金合欢木告示牌
Blocks,Acacia Slab,金合欢木台阶
Blocks,Acacia Stairs,金合欢木楼梯
Blocks,Acacia Trapdoor,金合欢木活板门
Blocks,Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌
Blocks,Acacia Wall Sign,墙上的金合欢木告示牌
Blocks,Acacia Wood,金合欢木
Blocks,Activator Rail,激活铁轨
Blocks,Air,空气
Blocks,Allium,绒球葱
Blocks,Amethyst Bud,紫晶芽
Blocks,Amethyst Cluster,紫水晶簇
Blocks,Ancient Debris,远古残骸
Blocks,Andesite,安山岩
Blocks,Andesite Slab,安山岩台阶
Blocks,Andesite Stairs,安山岩楼梯
Blocks,Andesite Wall,安山岩墙
Blocks,Anvil,铁砧
Blocks,Attached Melon Stem,结果的西瓜茎
Blocks,Attached Pumpkin Stem,结果的南瓜茎
Blocks,Azalea,杜鹃花丛
Blocks,Azalea Leaves,杜鹃树叶
Blocks,Azure Bluet,蓝花美耳草
Blocks,Bamboo,竹子
Blocks,Bamboo Button,竹按钮
Blocks,Bamboo Door,竹门
Blocks,Bamboo Fence,竹栅栏
Blocks,Bamboo Fence Gate,竹栅栏门
Blocks,Bamboo Hanging Sign,悬挂式竹告示牌
Blocks,Bamboo Mosaic,竹马赛克
Blocks,Bamboo Mosaic Slab,竹马赛克台阶
Blocks,Bamboo Mosaic Stairs,竹马赛克楼梯
Blocks,Bamboo Planks,竹板
Blocks,Bamboo Pressure Plate,竹压力板
Blocks,Bamboo Shelf,竹展示架
Blocks,Bamboo Shoot,竹笋
Blocks,Bamboo Sign,竹告示牌
Blocks,Bamboo Slab,竹台阶
Blocks,Bamboo Stairs,竹楼梯
Items,Acacia Boat,金合欢木船
Items,Acacia Boat with Chest,金合欢木运输船
Items,Allay Spawn Egg,悦灵刷怪蛋
Items,Amethyst Shard,紫水晶碎片
Items,Angler Pottery Sherd,垂钓纹样陶片
Items,Apple,苹果
Items,Archer Pottery Sherd,弓箭纹样陶片
Items,Armadillo Scute,犰狳鳞甲
Items,Armadillo Spawn Egg,犰狳刷怪蛋
Items,Armor Stand,盔甲架
