改动,Java版1.12.2,Java版1.12.2,Java版1.13,Java版1.13
改动,方块,命名空间ID,方块,命名空间ID
拆分,石头,stone,石头,stone
拆分,石头,stone,花岗岩,granite
拆分,石头,stone,磨制花岗岩,polished_granite
拆分,石头,stone,闪长岩,diorite
拆分,石头,stone,磨制闪长岩,polished_diorite
拆分,石头,stone,安山岩,andesite
拆分,石头,stone,磨制安山岩,polished_andesite
重命名,草方块,grass,草方块,grass_block
拆分,泥土,dirt,泥土,dirt
拆分,泥土,dirt,砂土,coarse_dirt
拆分,泥土,dirt,灰化土,podzol
拆分,木板,planks,橡木木板,oak_planks
拆分,木板,planks,云杉木板,spruce_planks
拆分,木板,planks,白桦木板,birch_planks
拆分,木板,planks,丛林木板,jungle_planks
拆分,木板,planks,金合欢木板,acacia_planks
拆分,木板,planks,深色橡木木板,dark_oak_planks
拆分,树苗,sapling,橡树树苗,oak_sapling
拆分,树苗,sapling,云杉树苗,spruce_sapling
拆分,树苗,sapling,白桦树苗,birch_sapling
拆分,树苗,sapling,丛林树苗,jungle_sapling
拆分,树苗,sapling,金合欢树苗,acacia_sapling
拆分,树苗,sapling,深色橡树树苗,dark_oak_sapling
拆分,沙子,sand,沙子,sand
拆分,沙子,sand,红沙,red_sand
拆分,原木,log,橡木原木,oak_log
拆分,原木,log,云杉原木,spruce_log
拆分,原木,log,白桦原木,birch_log
拆分,原木,log,丛林原木,jungle_log
拆分,原木,log,橡木,oak_wood
拆分,原木,log,云杉木,spruce_wood
拆分,原木,log,白桦木,birch_wood
拆分,原木,log,丛林木,jungle_wood
拆分,原木（2）,log2,金合欢原木,acacia_log
拆分,原木（2）,log2,深色橡木原木,dark_oak_log
拆分,原木（2）,log2,金合欢木,acacia_wood
拆分,原木（2）,log2,深色橡木,dark_oak_wood
拆分,树叶,leaves,橡树树叶,oak_leaves
拆分,树叶,leaves,云杉树叶,spruce_leaves
拆分,树叶,leaves,白桦树叶,birch_leaves
拆分,树叶,leaves,丛林树叶,jungle_leaves
