生物群系,Java版1.12.2,Java版1.13
山地,extreme_hills,mountains
沼泽,swampland,swamp
下界,hell,nether
末地,sky,the_end
积雪的冻原,ice_flats,snowy_tundra
雪山,ice_mountains,snowy_mountains
蘑菇岛,mushroom_island,mushroom_fields
蘑菇岛岸,mushroom_island_shore,mushroom_field_shore
沙滩,beaches,beach
繁茂的丘陵,forest_hills,wooded_hills
山地边缘,smaller_extreme_hills,mountain_edge
石岸,stone_beach,stone_shore
积雪沙滩,cold_beach,snowy_beach
黑森林,roofed_forest,dark_forest
积雪针叶林,taiga_cold,snowy_taiga
积雪的针叶林丘陵,taiga_cold_hills,snowy_taiga_hills
巨型针叶林,redwood_taiga,giant_tree_taiga
巨型针叶林丘陵,redwood_taiga_hills,giant_tree_taiga_hills
繁茂的山地,extreme_hills_with_trees,wooded_mountains
热带高原,savanna_rock,savanna_plateau
恶地,mesa,badlands
繁茂的恶地高原,mesa_rock,wooded_badlands_plateau
恶地高原,mesa_clear_rock,badlands_plateau
虚空,void,the_void
向日葵平原,mutated_plains,sunflower_plains
沙漠湖泊,mutated_desert,desert_lakes
沙砾山地,mutated_extreme_hills,gravelly_mountains
繁花森林,mutated_forest,flower_forest
针叶林山地,mutated_taiga,taiga_mountains
沼泽丘陵,mutated_swampland,swamp_hills
冰刺之地,mutated_ice_flats,ice_spikes
丛林变种,mutated_jungle,modified_jungle
丛林边缘变种,mutated_jungle_edge,modified_jungle_edge
高大桦木森林,mutated_birch_forest,tall_birch_forest
高大桦木丘陵,mutated_birch_forest_hills,tall_birch_hills
黑森林丘陵,mutated_roofed_forest,dark_forest_hills
积雪的针叶林山地,mutated_taiga_cold,snowy_taiga_mountains
巨型云杉针叶林,mutated_redwood_taiga,giant_spruce_taiga
巨型云杉针叶林丘陵,mutated_redwood_taiga_hills,giant_spruce_taiga_hills
沙砾山地+,mutated_extreme_hills_with_trees,modified_gravelly_mountains
破碎的热带草原,mutated_savanna,shattered_savanna
破碎的热带高原,mutated_savanna_rock,shattered_savanna_plateau
风蚀恶地,mutated_mesa,eroded_badlands
繁茂的恶地高原变种,mutated_mesa_rock,modified_wooded_badlands_plateau
恶地高原变种,mutated_mesa_clear_rock,modified_badlands_plateau
